iter	Logloss
0	0.6843224169
1	0.6740018812
2	0.6668945787
3	0.6587016264
4	0.6513438863
5	0.645570507
6	0.6396258744
7	0.634285475
8	0.6301895115
9	0.6256845389
10	0.6224314245
11	0.6204302704
12	0.6176079969
13	0.6146417226
14	0.6124934239
15	0.6104927942
16	0.6084553026
17	0.6066753798
18	0.6054137302
19	0.6039663122
20	0.602730601
21	0.6010566039
22	0.5997368881
23	0.5987359497
24	0.5979086275
25	0.5970979052
26	0.5964875132
27	0.5955882976
28	0.5944650314
29	0.5937326055
30	0.5926879936
31	0.5919781523
32	0.5915510869
33	0.5910196073
34	0.5902334174
35	0.5896088054
36	0.5891825027
37	0.5884553743
38	0.588030078
39	0.5874917387
40	0.5870540618
41	0.5865738169
42	0.5862485744
43	0.5859980671
44	0.5854400053
45	0.5851074204
46	0.5848288836
47	0.5845223339
48	0.5841752863
49	0.5838763197
50	0.5836542019
51	0.5834035824
52	0.583140951
53	0.5827641018
54	0.5823822716
55	0.5821492771
56	0.5819703918
57	0.581849404
58	0.581655871
59	0.5815051334
60	0.5812687379
61	0.5811109207
62	0.5807840978
63	0.5804967978
64	0.5803648195
65	0.5801700665
66	0.5800008032
67	0.5798395645
68	0.5796705995
69	0.5795611501
70	0.5794173421
71	0.5793392377
72	0.579224905
73	0.5790922122
74	0.5789337127
75	0.5787449344
76	0.5786452193
77	0.578527395
78	0.5784133946
79	0.5783099312
80	0.5781985681
81	0.5780929052
82	0.5780149698
83	0.5779122018
84	0.5778033474
85	0.5776667138
86	0.5775570844
87	0.5774456441
88	0.5773415433
89	0.5772458955
90	0.5771081295
91	0.5770200495
92	0.5769071802
93	0.5768394691
94	0.5767599237
95	0.5766569716
96	0.5765423313
97	0.5764483044
98	0.5763658936
99	0.5762744248
100	0.5761577703
101	0.5760903825
102	0.5760135541
103	0.5759589429
104	0.5758909631
105	0.5758268728
106	0.5757025355
107	0.5756548382
108	0.5756072829
109	0.5755429455
110	0.5754879302
111	0.5754445875
112	0.5753943674
113	0.5753280129
114	0.5752496134
115	0.5752041303
116	0.5751153623
117	0.5750463579
118	0.5749627666
119	0.5749185434
120	0.5748621976
121	0.5747940208
122	0.5747271125
123	0.5746076469
124	0.5745717918
125	0.5745018469
126	0.5744449712
127	0.5743683148
128	0.5742975458
129	0.5742446031
130	0.5741994896
131	0.5741550796
132	0.5741091237
133	0.5740674752
134	0.5740434222
135	0.5739919553
136	0.5739411883
137	0.57391406
138	0.5738212935
139	0.5737754987
140	0.5737321549
141	0.5736560456
142	0.5735939736
143	0.573532993
144	0.5734916238
145	0.5734511487
146	0.5734214949
147	0.5733887669
148	0.5733622576
149	0.5733334447
150	0.5732975938
151	0.5732477227
152	0.5732015121
153	0.573161435
154	0.573101421
155	0.5730725948
156	0.5729842453
157	0.572938859
158	0.5728895693
159	0.5728336867
160	0.5727882475
161	0.5727575892
162	0.572704493
163	0.5726571564
164	0.5726014974
165	0.5725515924
166	0.5725177425
167	0.5724590284
168	0.5723993218
169	0.5723809025
170	0.5723492401
171	0.5722999692
172	0.5722760843
173	0.5722479808
174	0.5721909639
175	0.5721636977
176	0.572133854
177	0.5721141154
178	0.5720834966
179	0.5720378095
180	0.5719849909
181	0.5719457832
182	0.5719258643
183	0.5718719255
184	0.5718435143
185	0.5718127468
186	0.5717472913
187	0.5716991403
188	0.5716702329
189	0.5716327773
190	0.5715926772
191	0.5715369823
192	0.5714996469
193	0.5714653793
194	0.5714461672
195	0.5713829786
196	0.5713498301
197	0.5713044584
198	0.5712787133
199	0.571232814
200	0.5711967742
201	0.5711474202
202	0.5711159527
